Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-3.001151, 07/18/2019 12:27:47.034, -27.66209, -88.76411, 24.63193
-2.947712, 07/18/2019 12:27:47.049, -26.92886, -86.80356, 24.71437
-2.895122, 07/18/2019 12:27:47.063, -25.78846, -85.09861, 24.03374
-2.843912, 07/18/2019 12:27:47.076, -24.63621, -83.58737, 22.94455
-2.794627, 07/18/2019 12:27:47.095, -25.8783, -82.16631, 21.84158
-2.747695, 07/18/2019 12:27:47.107, -25.62063, -80.01025, 23.1306
-2.703423, 07/18/2019 12:27:47.122, -23.08285, -78.26907, 22.91721
-2.66216, 07/18/2019 12:27:47.137, -23.39676, -77.32877, 20.42069
-2.624134, 07/18/2019 12:27:47.156, -24.34284, -75.60601, 20.77262
-2.589416, 07/18/2019 12:27:47.169, -23.66678, -73.63966, 21.75343
-2.558147, 07/18/2019 12:27:47.185, -23.10127, -72.15467, 21.10863
-2.530371, 07/18/2019 12:27:47.200, -22.60506, -70.6835, 20.5709
-2.505957, 07/18/2019 12:27:47.218, -23.63983, -69.23186, 20.0991
-2.484872, 07/18/2019 12:27:47.232, -22.96114, -67.29257, 21.15496
-2.467033, 07/18/2019 12:27:47.249, -21.58642, -65.86005, 20.49411
-2.452195, 07/18/2019 12:27:47.264, -22.50469, -64.71944, 19.13422
-2.440265, 07/18/2019 12:27:47.279, -22.34991, -62.89899, 20.06443
-2.431097, 07/18/2019 12:27:47.294, -21.89541, -61.37506, 19.91881
-2.424411, 07/18/2019 12:27:47.309, -20.8782, -59.96634, 19.471
-2.420111, 07/18/2019 12:27:47.325, -20.69675, -58.78683, 18.45809
-2.418129, 07/18/2019 12:27:47.340, -21.41212, -57.40053, 18.27863
-2.41826, 07/18/2019 12:27:47.356, -20.39583, -55.72103, 18.99386
-2.420425, 07/18/2019 12:27:47.371, -19.60608, -54.58085, 17.97541
-2.424623, 07/18/2019 12:27:47.388, -19.43722, -53.44346, 17.18145
-2.43069, 07/18/2019 12:27:47.402, -19.7386, -52.15575, 17.00653
-2.438519, 07/18/2019 12:27:47.418, -19.34069, -50.72086, 17.30008
-2.448115, 07/18/2019 12:27:47.432, -19.95998, -49.50372, 16.89257
-2.45927, 07/18/2019 12:27:47.449, -20.95499, -47.96973, 17.50071
-2.471813, 07/18/2019 12:27:47.463, -20.04478, -46.25948, 18.48318
-2.485568, 07/18/2019 12:27:47.479, -20.47554, -45.1269, 17.55922
-2.500169, 07/18/2019 12:27:47.495, -20.67249, -43.60656, 17.97537
-2.515275, 07/18/2019 12:27:47.510, -20.38925, -42.13403, 18.15722
-2.530449, 07/18/2019 12:27:47.527, -19.99271, -40.81219, 17.8588
-2.545135, 07/18/2019 12:27:47.541, -19.87661, -39.5525, 17.44758
-2.558754, 07/18/2019 12:27:47.557, -21.27657, -38.22838, 17.31786
-2.570633, 07/18/2019 12:27:47.574, -20.06247, -36.39317, 18.70594
-2.580147, 07/18/2019 12:27:47.587, -20.47703, -35.34604, 17.48232
-2.586635, 07/18/2019 12:27:47.602, -20.50432, -33.83449, 17.89039
-2.589327, 07/18/2019 12:27:47.618, -21.83224, -32.42264, 17.915
-2.587651, 07/18/2019 12:27:47.635, -21.20344, -30.56067, 19.24459
-2.581076, 07/18/2019 12:27:47.649, -20.96958, -29.26473, 18.62237
-2.568926, 07/18/2019 12:27:47.665, -21.27989, -27.88006, 18.40066
-2.550758, 07/18/2019 12:27:47.679, -21.16676, -26.32381, 18.72913
-2.526355, 07/18/2019 12:27:47.697, -22.25819, -24.88509, 18.64041
-2.495246, 07/18/2019 12:27:47.709, -21.01719, -23.03732, 19.76294
-2.457159, 07/18/2019 12:27:47.726, -21.21746, -21.90017, 18.56003
-2.412135, 07/18/2019 12:27:47.740, -21.70835, -20.35999, 18.80532
-2.359972, 07/18/2019 12:27:47.758, -22.50721, -18.69831, 19.34838
-2.300556, 07/18/2019 12:27:47.773, -21.43845, -16.88576, 20.20665
-2.234149, 07/18/2019 12:27:47.789, -20.4249, -15.64492, 19.2043
-2.160794, 07/18/2019 12:27:47.804, -20.66345, -14.46135, 18.26411
-2.080591, 07/18/2019 12:27:47.820, -21.22433, -12.91916, 18.58286
-1.994027, 07/18/2019 12:27:47.835, -19.8888, -11.23908, 19.2303
-1.901434, 07/18/2019 12:27:47.851, -19.33708, -10.15745, 17.98737
-1.803166, 07/18/2019 12:27:47.868, -20.05783, -8.902171, 17.53392
-1.700045, 07/18/2019 12:27:47.884, -19.55137, -7.24378, 18.35779
-1.592776, 07/18/2019 12:27:47.895, -18.10387, -5.940814, 17.9586
-1.482103, 07/18/2019 12:27:47.907, -16.51279, -4.991189, 16.62176
-1.369159, 07/18/2019 12:27:47.924, -17.31966, -4.194959, 15.14363
-1.254999, 07/18/2019 12:27:47.941, -16.4926, -2.690704, 16.06466
-1.140806, 07/18/2019 12:27:47.954, -16.18847, -1.675352, 15.35179
-1.027807, 07/18/2019 12:27:47.967, -15.34842, -0.5367314, 15.16066
-0.917191, 07/18/2019 12:27:47.981, -15.32993, 0.4020172, 14.43122
-0.8103468, 07/18/2019 12:27:47.996, -15.0071, 1.564414, 14.51959
-0.7082304, 07/18/2019 12:27:48.010, -13.43817, 2.627589, 14.29887
-0.6118072, 07/18/2019 12:27:48.026, -12.16976, 3.243532, 12.82636
-0.5222428, 07/18/2019 12:27:48.039, -10.36079, 3.844823, 11.64752
-0.4400006, 07/18/2019 12:27:48.053, -9.021835, 4.165472, 9.920794
-0.3654976, 07/18/2019 12:27:48.070, -6.860447, 4.509432, 8.656338
-0.299287, 07/18/2019 12:27:48.083, -5.271149, 4.468897, 6.56116
-0.2412079, 07/18/2019 12:27:48.096, -3.447132, 4.457695, 5.029941
-0.1910193, 07/18/2019 12:27:48.110, -2.649536, 4.243054, 3.256113
-0.1486207, 07/18/2019 12:27:48.127, -1.419754, 4.23911, 2.500916
-0.113367, 07/18/2019 12:27:48.139, -0.8738136, 4.025039, 1.306387
-0.08455071, 07/18/2019 12:27:48.154, -0.5872536, 3.949914, 0.7892629
-0.06162946, 07/18/2019 12:27:48.168, -0.3762817, 3.921282, 0.5256241
-0.04377337, 07/18/2019 12:27:48.185, -0.2089119, 3.89619, 0.3325084
-0.03014448, 07/18/2019 12:27:48.197, 0.1241112, 3.869472, 0.1787674
-0.02009263, 07/18/2019 12:27:48.210, 0.3823471, 3.772573, -0.1442038
-0.01286473, 07/18/2019 12:27:48.226, 0.6142044, 3.675054, -0.3952118
-0.007830879, 07/18/2019 12:27:48.243, 1.154537, 3.56615, -0.6220353
